Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
Zoonotic poxvirus infections in humans.,/pubmed/15021045,Lewis-Jones S.,Curr Opin Infect Dis. 2004 Apr;17(2):81-9. Review.,Curr Opin Infect Dis.  2004,PubMed,citation,PMID:15021045,pubmed,15021045,create date:2004/03/17 | first author:Lewis-Jones S
"Echinococcosis: disease, detection and transmission.",/pubmed/15027602,"Craig PS, Rogan MT, Campos-Ponce M.",Parasitology. 2003;127 Suppl:S5-20. Review.,Parasitology.  2003,PubMed,citation,PMID:15027602,pubmed,15027602,create date:2004/03/19 | first author:Craig PS
Interactions between landscape changes and host communities can regulate Echinococcus multilocularis transmission.,/pubmed/15027609,"Giraudoux P, Craig PS, Delattre P, Bao G, Bartholomot B, Harraga S, Quéré JP, Raoul F, Wang Y, Shi D, Vuitton DA.",Parasitology. 2003;127 Suppl:S121-31. Review.,Parasitology.  2003,PubMed,citation,PMID:15027609,pubmed,15027609,create date:2004/03/19 | first author:Giraudoux P
Perspective on control options for Echinococcus multilocularis with particular reference to Japan.,/pubmed/15027612,"Ito A, Romig T, Takahashi K.",Parasitology. 2003;127 Suppl:S159-72. Review.,Parasitology.  2003,PubMed,citation,PMID:15027612,pubmed,15027612,create date:2004/03/19 | first author:Ito A
"Application of ultrasound in diagnosis, treatment, epidemiology, public health and control of Echinococcus granulosus and E. multilocularis.",/pubmed/15027603,"Macpherson CN, Bartholomot B, Frider B.",Parasitology. 2003;127 Suppl:S21-35. Review.,Parasitology.  2003,PubMed,citation,PMID:15027603,pubmed,15027603,create date:2004/03/19 | first author:Macpherson CN
Cystic echinococcosis in the Arctic and Sub-Arctic.,/pubmed/15027606,Rausch RL.,Parasitology. 2003;127 Suppl:S73-85. Review.,Parasitology.  2003,PubMed,citation,PMID:15027606,pubmed,15027606,create date:2004/03/19 | first author:Rausch RL
Transmission dynamics and control options for Echinococcus granulosus.,/pubmed/15027611,"Torgerson PR, Heath DD.",Parasitology. 2003;127 Suppl:S143-58. Review.,Parasitology.  2003,PubMed,citation,PMID:15027611,pubmed,15027611,create date:2004/03/19 | first author:Torgerson PR
Epidemiology of alveolar echinococcosis with particular reference to China and Europe.,/pubmed/15027607,"Vuitton DA, Zhou H, Bresson-Hadni S, Wang Q, Piarroux M, Raoul F, Giraudoux P.",Parasitology. 2003;127 Suppl:S87-107. Review.,Parasitology.  2003,PubMed,citation,PMID:15027607,pubmed,15027607,create date:2004/03/19 | first author:Vuitton DA
Ectoparasites--the underestimated realm.,/pubmed/15032237,"Heukelbach J, Feldmeier H.",Lancet. 2004 Mar 13;363(9412):889-91. Review.,Lancet.  2004,PubMed,citation,PMID:15032237,pubmed,15032237,create date:2004/03/23 | first author:Heukelbach J
Studying the global distribution of infectious diseases using GIS and RS.,/pubmed/15035027,"Rogers DJ, Randolph SE.",Nat Rev Microbiol. 2003 Dec;1(3):231-7. Review.,Nat Rev Microbiol.  2003,PubMed,citation,PMID:15035027,pubmed,15035027,create date:2004/03/24 | first author:Rogers DJ
The emerging technologies of neural xenografting and stem cell transplantation for treating neurodegenerative disorders.,/pubmed/15045038,"Harrower TP, Barker RA.",Drugs Today (Barc). 2004 Feb;40(2):171-89. Review.,Drugs Today (Barc).  2004,PubMed,citation,PMID:15045038,pubmed,15045038,create date:2004/03/27 | first author:Harrower TP
Environmental contamination with helminth infective stages implicated in water and foodborne diseases.,/pubmed/15058813,"Doligalska M, Donskow K.",Acta Microbiol Pol. 2003;52 Suppl:45-56. Review.,Acta Microbiol Pol.  2003,PubMed,citation,PMID:15058813,pubmed,15058813,create date:2004/04/03 | first author:Doligalska M
"Pulmonary manifestations of other agents: brucella, Q fever, tularemia and smallpox.",/pubmed/15062230,Wortmann G.,Respir Care Clin N Am. 2004 Mar;10(1):99-109. Review.,Respir Care Clin N Am.  2004,PubMed,citation,PMID:15062230,pubmed,15062230,create date:2004/04/06 | first author:Wortmann G
Piscine mycobacteriosis: a literature review covering the agent and the disease it causes in fish and humans.,/pubmed/15066718,"Decostere A, Hermans K, Haesebrouck F.",Vet Microbiol. 2004 Apr 19;99(3-4):159-66. Review.,Vet Microbiol.  2004,PubMed,citation,PMID:15066718,pubmed,15066718,create date:2004/04/07 | first author:Decostere A
Avian influenza: a new pandemic threat?,/pubmed/15065617,"Trampuz A, Prabhu RM, Smith TF, Baddour LM.",Mayo Clin Proc. 2004 Apr;79(4):523-30; quiz 530. Review. Erratum in: Mayo Clin Proc. 2004 Jun;79(6):833. ,Mayo Clin Proc.  2004,PubMed,citation,PMID:15065617,pubmed,15065617,create date:2004/04/07 | first author:Trampuz A
"Australia's notifiable diseases status, 2002: Annual report of the National Notifiable Diseases Surveillance System.",/pubmed/15072156,"Yohannes K, Roche P, Blumer C, Spencer J, Milton A, Bunn C, Gidding H, Kirk M, Della-Porta T.",Commun Dis Intell Q Rep. 2004;28(1):6-68. Review. Erratum in: Commun Dis Intell. 2006;30(2):221. ,Commun Dis Intell Q Rep.  2004,PubMed,citation,PMID:15072156,pubmed,15072156,create date:2004/04/10 | first author:Yohannes K
Reports of zoonotic disease outbreaks associated with animal exhibits and availability of recommendations for preventing zoonotic disease transmission from animals to people in such settings.,/pubmed/15074855,"Bender JB, Shulman SA; Animals in Public Contact subcommittee.; National Association of State Public Health Veterinarians..",J Am Vet Med Assoc. 2004 Apr 1;224(7):1105-9. Review.,J Am Vet Med Assoc.  2004,PubMed,citation,PMID:15074855,pubmed,15074855,create date:2004/04/13 | first author:Bender JB
Prion strains and species barriers.,/pubmed/15077403,"Hill AF, Collinge J.",Contrib Microbiol. 2004;11:33-49. Review. No abstract available. ,Contrib Microbiol.  2004,PubMed,citation,PMID:15077403,pubmed,15077403,create date:2004/04/14 | first author:Hill AF
New insights on the neuropathology of West Nile virus.,/pubmed/15098543,"Ceccaldi PE, Lucas M, Despres P.",FEMS Microbiol Lett. 2004 Apr 1;233(1):1-6. Review.,FEMS Microbiol Lett.  2004,PubMed,citation,PMID:15098543,pubmed,15098543,create date:2004/04/22 | first author:Ceccaldi PE
Update on Cryptosporidium and Giardia infections in cattle.,/pubmed/15099558,"Olson ME, O'Handley RM, Ralston BJ, McAllister TA, Thompson RC.",Trends Parasitol. 2004 Apr;20(4):185-91. Review. No abstract available. ,Trends Parasitol.  2004,PubMed,citation,PMID:15099558,pubmed,15099558,create date:2004/04/22 | first author:Olson ME
Food-borne intestinal trematodiases in humans.,/pubmed/15103556,"Fried B, Graczyk TK, Tamang L.",Parasitol Res. 2004 Jun;93(2):159-70. Epub 2004 Apr 21. Review.,Parasitol Res.  2004,PubMed,citation,PMID:15103556,pubmed,15103556,create date:2004/04/23 | first author:Fried B
Cat scratch disease and other zoonotic Bartonella infections.,/pubmed/15112775,"Chomel BB, Boulouis HJ, Breitschwerdt EB.",J Am Vet Med Assoc. 2004 Apr 15;224(8):1270-9. Review. No abstract available. ,J Am Vet Med Assoc.  2004,PubMed,citation,PMID:15112775,pubmed,15112775,create date:2004/04/29 | first author:Chomel BB
An assessment for the development of a national surveillance system for travel-acquired enteric disease.,/pubmed/15115193,"Bowman CL, Finley RL, Chandran AU, Isaacs S.","Can Commun Dis Rep. 2004 Apr 15;30(8):69-79. Review. English, French.  No abstract available. ",Can Commun Dis Rep.  2004,PubMed,citation,PMID:15115193,pubmed,15115193,create date:2004/04/30 | first author:Bowman CL
Zoonotic viruses of wildlife: hither from yon.,/pubmed/15119758,Childs JE.,Arch Virol Suppl. 2004;(18):1-11. Review.,Arch Virol Suppl.  2004,PubMed,citation,PMID:15119758,pubmed,15119758,create date:2004/05/04 | first author:Childs JE
Novel viral encephalitides associated with bats (Chiroptera)--host management strategies.,/pubmed/15119766,"Field H, Mackenzie J, Daszak P.",Arch Virol Suppl. 2004;(18):113-21. Review.,Arch Virol Suppl.  2004,PubMed,citation,PMID:15119766,pubmed,15119766,create date:2004/05/04 | first author:Field H
Emerging encephalitogenic viruses: lyssaviruses and henipaviruses transmitted by frugivorous bats.,/pubmed/15119765,"Mackenzie JS, Field HE.",Arch Virol Suppl. 2004;(18):97-111. Review.,Arch Virol Suppl.  2004,PubMed,citation,PMID:15119765,pubmed,15119765,create date:2004/05/04 | first author:Mackenzie JS
Neurovirulence and host factors in flavivirus encephalitis--evidence from clinical epidemiology.,/pubmed/15119771,"Solomon T, Winter PM.",Arch Virol Suppl. 2004;(18):161-70. Review.,Arch Virol Suppl.  2004,PubMed,citation,PMID:15119771,pubmed,15119771,create date:2004/05/04 | first author:Solomon T
Diagnosis of zoonotic viral encephalitis.,/pubmed/15119778,Vernet G.,Arch Virol Suppl. 2004;(18):231-44. Review.,Arch Virol Suppl.  2004,PubMed,citation,PMID:15119778,pubmed,15119778,create date:2004/05/04 | first author:Vernet G
Genetic determinants of Venezuelan equine encephalitis emergence.,/pubmed/15119762,"Weaver SC, Anishchenko M, Bowen R, Brault AC, Estrada-Franco JG, Fernandez Z, Greene I, Ortiz D, Paessler S, Powers AM.",Arch Virol Suppl. 2004;(18):43-64. Review.,Arch Virol Suppl.  2004,PubMed,citation,PMID:15119762,pubmed,15119762,create date:2004/05/04 | first author:Weaver SC
Outbreaks of zoonotic enteric disease associated with animal exhibits.,/pubmed/15124883,"LeJeune JT, Davis MA.",J Am Vet Med Assoc. 2004 May 1;224(9):1440-5. Review. No abstract available. ,J Am Vet Med Assoc.  2004,PubMed,citation,PMID:15124883,pubmed,15124883,create date:2004/05/06 | first author:LeJeune JT
Zoonotic skin diseases of dogs and cats.,/pubmed/15134297,Moriello KA.,Anim Health Res Rev. 2003 Dec;4(2):157-68. Review.,Anim Health Res Rev.  2003,PubMed,citation,PMID:15134297,pubmed,15134297,create date:2004/05/12 | first author:Moriello KA
Natural and experimental Helicobacter infections.,/pubmed/15134359,"Whary MT, Fox JG.",Comp Med. 2004 Apr;54(2):128-58. Review.,Comp Med.  2004,PubMed,citation,PMID:15134359,pubmed,15134359,create date:2004/05/12 | first author:Whary MT
Zoonotic Babesia: possibly emerging pathogens to be considered for tick-infested humans in Central Europe.,/pubmed/15146990,"Hunfeld KP, Brade V.",Int J Med Microbiol. 2004 Apr;293 Suppl 37:93-103. Review.,Int J Med Microbiol.  2004,PubMed,citation,PMID:15146990,pubmed,15146990,create date:2004/05/19 | first author:Hunfeld KP
Human granulocytic ehrlichiosis in Europe.,/pubmed/15146982,Strle F.,Int J Med Microbiol. 2004 Apr;293 Suppl 37:27-35. Review.,Int J Med Microbiol.  2004,PubMed,citation,PMID:15146982,pubmed,15146982,create date:2004/05/19 | first author:Strle F
Public health and the BSE epidemic.,/pubmed/15148989,Ricketts MN.,Curr Top Microbiol Immunol. 2004;284:99-119. Review.,Curr Top Microbiol Immunol.  2004,PubMed,citation,PMID:15148989,pubmed,15148989,create date:2004/05/20 | first author:Ricketts MN
The value and throughput of rest Thallium-201/stress Technetium -99m sestamibi dual-isotope myocardial SPECT.,/pubmed/15165953,"Okudan B, Smitherman TC.",Anadolu Kardiyol Derg. 2004 Jun;4(2):161-8. Review.,Anadolu Kardiyol Derg.  2004,PubMed,citation,PMID:15165953,pubmed,15165953,create date:2004/05/29 | first author:Okudan B
Diffusion properties of the brain in health and disease.,/pubmed/15186911,Syková E.,Neurochem Int. 2004 Sep;45(4):453-66. Review.,Neurochem Int.  2004,PubMed,citation,PMID:15186911,pubmed,15186911,create date:2004/06/10 | first author:Syková E
Q fever (coxiellosis): epidemiology and pathogenesis.,/pubmed/15196898,Woldehiwet Z.,Res Vet Sci. 2004 Oct;77(2):93-100. Review. Erratum in: Res Vet Sci. 2004 Dec;77(3):269. ,Res Vet Sci.  2004,PubMed,citation,PMID:15196898,pubmed,15196898,create date:2004/06/16 | first author:Woldehiwet Z
Chronic wasting disease and potential transmission to humans.,/pubmed/15207045,"Belay ED, Maddox RA, Williams ES, Miller MW, Gambetti P, Schonberger LB.",Emerg Infect Dis. 2004 Jun;10(6):977-84. Review.,Emerg Infect Dis.  2004,PubMed,citation,PMID:15207045 | PMCID:PMC3323184,pubmed,15207045,create date:2004/06/23 | first author:Belay ED
Agroterrorism in the U.S.: key security challenge for the 21st century.,/pubmed/15225403,"Cupp OS, Walker DE 2nd, Hillison J.",Biosecur Bioterror. 2004;2(2):97-105. Review.,Biosecur Bioterror.  2004,PubMed,citation,PMID:15225403,pubmed,15225403,create date:2004/07/01 | first author:Cupp OS
Cysticercosis/taeniasis in Asia and the Pacific.,/pubmed/15228810,"Ito A, Wandra T, Yamasaki H, Nakao M, Sako Y, Nakaya K, Margono SS, Suroso T, Gauci C, Lightowlers MW.",Vector Borne Zoonotic Dis. 2004 Summer;4(2):95-107. Review.,Vector Borne Zoonotic Dis.  2004,PubMed,citation,PMID:15228810,pubmed,15228810,create date:2004/07/02 | first author:Ito A
Cardiac sympathetic nerve biology and brain monoamine turnover in panic disorder.,/pubmed/15240408,"Esler M, Alvarenga M, Lambert G, Kaye D, Hastings J, Jennings G, Morris M, Schwarz R, Richards J.",Ann N Y Acad Sci. 2004 Jun;1018:505-14. Review.,Ann N Y Acad Sci.  2004,PubMed,citation,PMID:15240408,pubmed,15240408,create date:2004/07/09 | first author:Esler M
Functional neuroimaging of sympathetic innervation of the heart.,/pubmed/15240374,Goldstein DS.,Ann N Y Acad Sci. 2004 Jun;1018:231-43. Review.,Ann N Y Acad Sci.  2004,PubMed,citation,PMID:15240374,pubmed,15240374,create date:2004/07/09 | first author:Goldstein DS
Pet animals as reservoirs of antimicrobial-resistant bacteria.,/pubmed/15254022,"Guardabassi L, Schwarz S, Lloyd DH.",J Antimicrob Chemother. 2004 Aug;54(2):321-32. Epub 2004 Jul 14. Review.,J Antimicrob Chemother.  2004,PubMed,citation,PMID:15254022,pubmed,15254022,create date:2004/07/16 | first author:Guardabassi L
"Bovine spongiform encephalopathy (BSE)--infectious, contagious, zoonotic or production disease?",/pubmed/15259778,Doherr MG.,Acta Vet Scand Suppl. 2003;98:33-42. Review.,Acta Vet Scand Suppl.  2003,PubMed,citation,PMID:15259778,pubmed,15259778,create date:2004/07/21 | first author:Doherr MG
Using human disease outbreaks as a guide to multilevel ecosystem interventions.,/pubmed/15289157,"Cook A, Jardine A, Weinstein P.",Environ Health Perspect. 2004 Aug;112(11):1143-6. Review.,Environ Health Perspect.  2004,PubMed,citation,PMID:15289157 | PMCID:PMC1247472,pubmed,15289157,create date:2004/08/04 | first author:Cook A
Bovine tuberculosis: an old disease but a new threat to Africa.,/pubmed/15305473,"Ayele WY, Neill SD, Zinsstag J, Weiss MG, Pavlik I.",Int J Tuberc Lung Dis. 2004 Aug;8(8):924-37. Review.,Int J Tuberc Lung Dis.  2004,PubMed,citation,PMID:15305473,pubmed,15305473,create date:2004/08/13 | first author:Ayele WY
Influenza as a model system for studying the cross-species transfer and evolution of the SARS coronavirus.,/pubmed/15306391,Bush RM.,Philos Trans R Soc Lond B Biol Sci. 2004 Jul 29;359(1447):1067-73. Review.,Philos Trans R Soc Lond B Biol Sci.  2004,PubMed,citation,PMID:15306391 | PMCID:PMC1693400,pubmed,15306391,create date:2004/08/13 | first author:Bush RM
The aetiology of SARS: Koch's postulates fulfilled.,/pubmed/15306393,"Osterhaus AD, Fouchier RA, Kuiken T.",Philos Trans R Soc Lond B Biol Sci. 2004 Jul 29;359(1447):1081-2. Review.,Philos Trans R Soc Lond B Biol Sci.  2004,PubMed,citation,PMID:15306393 | PMCID:PMC1693394,pubmed,15306393,create date:2004/08/13 | first author:Osterhaus AD
Xenotransplantation: infectious risk revisited.,/pubmed/15307825,"Fishman JA, Patience C.",Am J Transplant. 2004 Sep;4(9):1383-90. Review.,Am J Transplant.  2004,PubMed,citation,PMID:15307825,pubmed,15307825,create date:2004/08/17 | first author:Fishman JA
Emerging infections in animals--potential new zoonoses?,/pubmed/15325066,"Torres-Vélez F, Brown C.","Clin Lab Med. 2004 Sep;24(3):825-38, viii. Review.",Clin Lab Med.  2004,PubMed,citation,PMID:15325066,pubmed,15325066,create date:2004/08/25 | first author:Torres-Vélez F
The detection of Brucella spp. using PCR-ELISA and real-time PCR assays.,/pubmed/15330505,"Al Dahouk S, Tomaso H, Nöckler K, Neubauer H.",Clin Lab. 2004;50(7-8):387-94. Review.,Clin Lab.  2004,PubMed,citation,PMID:15330505,pubmed,15330505,create date:2004/08/28 | first author:Al Dahouk S
West Nile virus: where are we now?,/pubmed/15336221,"Granwehr BP, Lillibridge KM, Higgs S, Mason PW, Aronson JF, Campbell GA, Barrett AD.",Lancet Infect Dis. 2004 Sep;4(9):547-56. Review.,Lancet Infect Dis.  2004,PubMed,citation,PMID:15336221,pubmed,15336221,create date:2004/09/01 | first author:Granwehr BP
Cryptosporidiosis: an update in molecular epidemiology.,/pubmed/15353969,"Xiao L, Ryan UM.",Curr Opin Infect Dis. 2004 Oct;17(5):483-90. Review.,Curr Opin Infect Dis.  2004,PubMed,citation,PMID:15353969,pubmed,15353969,create date:2004/09/09 | first author:Xiao L
Avian influenza: recent developments.,/pubmed/15370036,"Capua I, Alexander DJ.",Avian Pathol. 2004 Aug;33(4):393-404. Review.,Avian Pathol.  2004,PubMed,citation,PMID:15370036,pubmed,15370036,create date:2004/09/17 | first author:Capua I
Vulnerability of waterborne diseases to climate change in Canada: a review.,/pubmed/15371208,"Charron D, Thomas M, Waltner-Toews D, Aramini J, Edge T, Kent R, Maarouf A, Wilson J.",J Toxicol Environ Health A. 2004 Oct 22-Nov 26;67(20-22):1667-77. Review.,J Toxicol Environ Health A.  2004,PubMed,citation,PMID:15371208,pubmed,15371208,create date:2004/09/17 | first author:Charron D
Ebola virus ecology: a continuing mystery.,/pubmed/15381189,"Feldmann H, Wahl-Jensen V, Jones SM, Ströher U.",Trends Microbiol. 2004 Oct;12(10):433-7. Review. No abstract available. ,Trends Microbiol.  2004,PubMed,citation,PMID:15381189,pubmed,15381189,create date:2004/09/24 | first author:Feldmann H
Bovine spongiform encephalopathy (BSE): the end of the beginning or the beginning of the end?,/pubmed/15449460,"Bradley R, Liberski PP.",Folia Neuropathol. 2004;42 Suppl A:55-68. Review.,Folia Neuropathol.  2004,PubMed,citation,PMID:15449460,pubmed,15449460,create date:2004/09/29 | first author:Bradley R
Human cryptosporidiosis: an update with special emphasis on the situation in Europe.,/pubmed/15458486,Joachim A.,J Vet Med B Infect Dis Vet Public Health. 2004 Aug;51(6):251-9. Review.,J Vet Med B Infect Dis Vet Public Health.  2004,PubMed,citation,PMID:15458486,pubmed,15458486,create date:2004/10/02 | first author:Joachim A
